id,title,time,place,company,jobs
JIDFM000,Data Engineer,4 days ago,Casablanca,Artefact,data engineer
JIDFM001,Data Engineer Ref. 003526,2 days ago,Casablanca,Novancy One | Recrutement de Talents du Digital,data engineer
JIDFM002,Data Engineer (based in Morocco),4 days ago,Casablanca,Netcompany-Intrasoft,data engineer
JIDFM003,Data Engineer H/F,1 week ago,Casablanca,Groupe INTM,data engineer
JIDFM004,Data Engineer - GAMMA,1 month ago,Casablanca,Boston Consulting Group (BCG),data engineer
JIDFM005,"Data Engineer - QuantumBlack, AI by McKinsey",6 days ago,Casablanca,"QuantumBlack, AI by McKinsey",data engineer
JIDFM007,Data Analyst (H/F),2 weeks ago,Casablanca,Deloitte,data analyst
JIDFM008,Senior Data Analyst,4 days ago,Casablanca,Infomineo,data analyst
JIDFM010,Lead Data Engineer,1 week ago,Marrakech,ALPHA10X,data engineer
JIDFM011,Ingénieur Data engineer Confirmé (H/F) - Casablanca,1 day ago,Casablanca,Atos,data engineer
JIDFM012,Lead Data Engineer,2 weeks ago,Marrakech,ALPHA10X,data engineer
JIDFM014,Data Scientist-(H/F),2 days ago,Casablanca,Société Générale Maroc,data scientist
JIDFM015,BIG DATA ENGINEER (3-5 years of XP),2 weeks ago,Rebat,GLOBAL DEFENSE SYSTEMS,data engineer
JIDFM016,Data Scientist ,4 weeks ago,Casablanca,Evernex,data scientist
JIDFM019,Data Scientist,2 weeks ago,Casablanca,Société Générale Maroc,data scientist
